LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,,,,,,,,,,* JEŚLI W OPCJI TO RAZEM Z OPCJA 22,,*może być M,,,"*UWAGA: KOMPLETACJA PRZENOŚNIKA PODPODŁOGOWEGO WYSTAJĄCEGO MINIMLANIE POZA SILOS PS160, WYCENA DŁUŻSZEGO PRZENOŚNIKA LUB PS220 NA ZAPYTANIE W FIRMIE KONSIL",,,,*UWAGA: CZYTNIK JEST NIEZBĘDNY DO ODCZYTU SOND TEMP. WYSTARCZY 1 CZYTNIK DO WIELU SOND,,,,
KATEGORIA,BLOCZKII BETONOWE,,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,,OPCJA 31,OPCJA 32,OPCJA 33
MODEL,M/OPCJA 1,XO1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,M/OPCJA 7,OPCJA 8,OPCJA 12,OPCJA 9,OPCJA 10,OPCJA 11,M/OPCJA 13,OPCJA 14,OPCJA 15,OPCJA 16,OPCJA 17,OPCJA 18,OPCJA 31*,OPCJA 19,OPCJA 20,OPCJA 21*,OPCJA 22*,OPCJA 23*,OPCJA 24,OPCJA 25,M/OPCJA 26*,OPCJA 27,OPCJA 28,OPCJA 30,opcja 32,,,,
,BLOCZKI BETONOWE,,DRABINA ZEWNĘTRZNA,DRABINA WEWNĘTRZNA,SCHODY DACHOWE,PODEST WIEŃCA,POMOST EKSPLOATACYJNY,WŁAZ DOLNY,WŁAZ DACHOWY,SCHODY SPIRALNE,PODŁOGA PŁASKA PERFOROWANA,PODŁOGA SKOŚNA PERFOROWANA,WLOT POWIETRZA,"WENTYLATOR PPZ-7,5 kW",WENTYLATOR DACHOWY WYCIĄGOWY,NAGRZEWNICA POWIETRZA,WYWEITRZNIK DACHOWY,MANOMETR WODNY,SONDA TEMPERATURY,CZYTNIK TEMPERATURY,CENTRALNY WLOT ZAŁADUNKOWY,BOCZNY WLOT ZAŁADUNKOWY,workownik,RURA ANTYDYNAMICZNA,RĘKAW ROZŁADOWCZY,PRZEDŁUŻENIE RĘKAWA ROZŁADOWCZEGO,KANAŁ AWARYJNY,PRZENOŚNIK ŚLIMAKOWY PODPODŁOGOWY ø160,PRZENOŚNIK ŚLIMAKOWY PODPODŁOGOWY ø220,PRZENOŚNIK ŚLIMAKOWY OBIEGOWY,MODUŁ KONTROLI SILOSA,WSYP LEJOWY 200/400,,,,
NBIN40S,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S-STANDARD,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,KANALAW-1,"PS160-P2.5, PSU160-I/O-200, PSU160-WL-CENT",,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40WS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S-STANDARD,-,"REKROZ20, OSLONAREKAWA REKROZ20, OSLONAREKAWA ",REKROZ-PR,KANALAW-1,"PS160-P2.5, PSU160-I/O-200, PSU160-WL-CENT",,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40WWS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"REKROZ20, OSLONAREKAWA , REK60WZMOC ",REKROZ-PR,KANALAW-1,"PS160-P2.5, PSU160-I/O-200, PSU160-WL-CENT",,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,"POM60, POM60-DRAB","WLAZDOLNY60-200, PODESTDOLNY ",S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S-STANDARD,-,"REKROZ60, REK60WZMOC ",REKROZ-PR,KANALAW-1,"PS160-P2.5, PS160-P1.0, PS160-LOZ/P1, PSU160-I/O-200, PSU160-WL-CENT, PS-PRZEWÓDSMAR",,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60W,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,"POM60, POM60-DRAB","WLAZDOLNY60-200, PODESTDOLNY ",S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"REKROZ60, REK60WZMOC ",REKROZ-PR,KANALAW-1,"PS160-P2.5, PS160-P1.0, PS160-LOZ/P1, PSU160-I/O-200, PSU160-WL-CENT, PS-PRZEWÓDSMAR",,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60WW,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,"POM60, POM60-DRAB",S-STANDARD,S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,wycena na zapytanie*,"WORKOWNIK, RURAANTYD.",RURAANTYD.,"REKROZ60, REK60WZMOC ",REKROZ-PR,S-STANDARD,"PS160-P2.5, PS160-P1.0, PS160-LOZ/P1, PSU160-I/O-200, PSU160-WL-CENT, PS-PRZEWÓDSMAR",,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN100U,ELEM.CERAM.,200,S-STANDARD,S-STANDARD,SCHODYDACH100,PODEST-WIENCA1,POM100-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,"WORKOWNIK, RURAANTYD.",RURAANTYD.,REKROZ100,REKROZ-PR,S-STANDARD,"PSU160-WL-CENT, PSU160-I/O-200, PS160-P2.0,  PS160-P1.0, PS-PRZEWÓDSMAR",,PSW220-BIN100,MKS-100/2,"WSYPLEJ200/400,RURASP-200-025 ",,,,
NBIN100WU,ELEM.CERAM.,200,S-STANDARD,S-STANDARD,SCHODYDACH100,PODEST-WIENCA1,POM100-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,"WORKOWNIK, RURAANTYD.",RURAANTYD.,REKROZ100,REKROZ-PR,S-STANDARD,"PSU160-WL-CENT, PSU160-I/O-200, PS160-P2.0,  PS160-P1.0, PS-PRZEWÓDSMAR",,PSW220-BIN100,MKS-100/2,"WSYPLEJ200/400,RURASP-200-025 ",,,,
NBIN200NU,ELEM.CERAM.,400,DRABZ-8M-KPL ,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,POM200-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,wycena na zapytanie*,-,-,-,-,S-STANDARD,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN200U,ELEM.CERAM.,400,DRABZ-8M-KPL,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,POM200-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,wycena na zapytanie*,-,-,-,-,S-STANDARD,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN200WU,ELEM.CERAM.,400,DRABZ-10M-KPL,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,POM200-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P10,TEMP_S_PCZYT/1 ,S-STANDARD,-,-,-,-,-,S-STANDARD,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN500,ELEM.CERAM.,800,DRABZ-12M-KPL,S-STANDARD,SCHODYDACH500,PODEST-WIENCA1 ,POM500-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-500+,-,S-STANDARD,S-STANDARD,TEMP_S_P12,TEMP_S_PCZYT/1 ,S-STANDARD,-,-,-,-,-,S-STANDARD,"PS160-P3.0, PS160-P3.0, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200","PS220-N3/200, PS220-P3.0,PS220-P3.0, PS220-LOZ/P1, PS-PRZEWÓDSMAR , PSU220-I/O-200",PSW500 ,MKS-100/2,-,,,,
NBIN500W,ELEM.CERAM.,800,DRABZ-14M-KPL,S-STANDARD,SCHODYDACH500,PODEST-WIENCA1 ,POM500-KRAT,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-500+,-,S-STANDARD,S-STANDARD,TEMP_S_P14,TEMP_S_PCZYT/1 ,S-STANDARD,-,-,-,-,-,S-STANDARD,"PS160-P3.0, PS160-P3.0, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200","PS220-N3/200, PS220-P3.0,PS220-P3.0, PS220-LOZ/P1, PS-PRZEWÓDSMAR , PSU220-I/O-200",PSW500 ,MKS-100/2,-,,,,
